Peak#,Ret. Time,Area,Area%,Height,Resolution(USP),Tailing F.,NTP(USP),S/N
1,0.96,74,0,42,--,0.886,6728,1.77
2,1.592,46543108,98.089,1600639,1.724,0.89,86,66980.36
3,3.026,1108,0.002,179,3.329,1.061,4734,7.48
4,32.539,4454,0.009,143,68.765,0.755,36378,6
5,34.21,868222,1.83,22384,1.986,1.221,18697,936.68
6,37.136,7404,0.016,185,3.083,0.904,27412,7.75
7,47.561,15953,0.034,186,7.371,0.686,9703,7.79
8,50.928,9598,0.02,147,1.858,0.874,14460,6.17
Total,,47449920,100,1623906,,,,
